Date,Hash,Filename,Result
2023-12-05 12:22:01.072547,f5324ffbb7d522e4a98af9ad4014f54b7e523dbe,VirusShare_1ba9dcca6a58b61e80303fb77a42e6d1,/home/user/virus_test_eset/flask_server/virus/VirusShare_1ba9dcca6a58b61e80303fb77a42e6d1: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:22:32.940783,53a8534dc52e4eae4aafacace02d26d0a5410e8a,VirusShare_1bd2c85238dc9b24c6fe31f4f8c1e249,/home/user/virus_test_eset/flask_server/virus/VirusShare_1bd2c85238dc9b24c6fe31f4f8c1e249: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:23:07.918743,a31546e8b29eb0a8d0114611e3decbc4662b875f,VirusShare_1bf04211231cb0218ce4516307e0796e,/home/user/virus_test_eset/flask_server/virus/VirusShare_1bf04211231cb0218ce4516307e0796e: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:23:42.247894,db1c93d69971d2f6e29ddba79b8c7861677135f6,VirusShare_1bfef300827d118fbe4307a082ce1683,/home/user/virus_test_eset/flask_server/virus/VirusShare_1bfef300827d118fbe4307a082ce1683: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:24:15.565925,c98bb5d84591b1899211c6c7c4fbeab205504ddf,VirusShare_1c49f52a7e9f2f43e22e9d47361b31e9,/home/user/virus_test_eset/flask_server/virus/VirusShare_1c49f52a7e9f2f43e22e9d47361b31e9: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:24:51.083356,772e7dd959458703d0adcd9e5ff830fbf5f643e2,VirusShare_1c8509336758744bc055f8d1b075a172,
2023-12-05 12:25:28.712442,eca59ec4b2b7f4f3a45c37dd1676f64f79441c3e,VirusShare_1c8740c423766b7d587877957b5d933f,/home/user/virus_test_eset/flask_server/virus/VirusShare_1c8740c423766b7d587877957b5d933f: 7: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:26:04.091206,f823bae086726955fd56018fe910e55a3fd7efd7,VirusShare_1d08e1658deb62943efb095b7d45f165,/home/user/virus_test_eset/flask_server/virus/VirusShare_1d08e1658deb62943efb095b7d45f165: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:26:45.974771,b48aa81ac014a5a7f6e95e618e4f951ee12d34c3,VirusShare_1da618896802fdb4b6f17c92703424f4,
2023-12-05 12:27:24.272063,7d6009b56bad6f7017ab3ee4654414e8721d2eb4,VirusShare_1dfc85c26fe77f8e7686fb9ab27181b0,/home/user/virus_test_eset/flask_server/virus/VirusShare_1dfc85c26fe77f8e7686fb9ab27181b0: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:28:04.225337,bb5a27b3a6989434e57a866ba01b3c6084b32b18,VirusShare_1e8b451eadefedf567902f503ed887f2,/home/user/virus_test_eset/flask_server/virus/VirusShare_1e8b451eadefedf567902f503ed887f2: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:28:34.145588,caaccf669b5032444a6ecb045b1b57b8ba3389a4,VirusShare_1e8f77c894dd14fee309d885ce11a5b3,/home/user/virus_test_eset/flask_server/virus/VirusShare_1e8f77c894dd14fee309d885ce11a5b3: 1: Syntax error: \"(\" unexpected
2023-12-05 12:29:02.570134,d663632edf30b5d9e767a5ad872b1261a0fc99d9,VirusShare_1e9dc1afd0903e84663a4201f563ec74,
2023-12-05 12:29:33.395504,8b950fe31ff89c58da208de9b12b415e669f0336,VirusShare_1ec0976afd424b49148fd5b2e6dcf61d,/home/user/virus_test_eset/flask_server/virus/VirusShare_1ec0976afd424b49148fd5b2e6dcf61d: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:30:04.457950,0d5a1260033e9fe412f53e215d3d0b1ad74453a9,VirusShare_1ec39638e44b9d3554fc3ff526587013,/home/user/virus_test_eset/flask_server/virus/VirusShare_1ec39638e44b9d3554fc3ff526587013: 10: Syntax error: EOF in backquote substitution
2023-12-05 12:30:36.663261,760632044236fbb4d5ec4e006b12f6aa2adedebf,VirusShare_1ed0dbc16da500ee9cf5cf63fe0aabc5,/home/user/virus_test_eset/flask_server/virus/VirusShare_1ed0dbc16da500ee9cf5cf63fe0aabc5: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:31:15.096835,905e9308b965e63b1ae11085c1d9f5ddff7df283,VirusShare_1f06e9b22c46489e8784dffe70f31f99,/home/user/virus_test_eset/flask_server/virus/VirusShare_1f06e9b22c46489e8784dffe70f31f99: 14: Syntax error: EOF in backquote substitution
2023-12-05 12:31:51.854670,4125ea2967b000227038519c2b6fb92113eb6b10,VirusShare_1f5c2a78b11b3af74f8df9273a05f33d,/home/user/virus_test_eset/flask_server/virus/VirusShare_1f5c2a78b11b3af74f8df9273a05f33d: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:32:24.267609,4881a4c58e7f15cfcf6b351c47ddaaac4165c894,VirusShare_1f64b4f25e5ddd6b892eb68bc1677402,/home/user/virus_test_eset/flask_server/virus/VirusShare_1f64b4f25e5ddd6b892eb68bc1677402: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:32:59.198430,6ecce68101e3c8050bc60715533904aae1082873,VirusShare_1fd683f32c1565ec4a97b827630f2395,/home/user/virus_test_eset/flask_server/virus/VirusShare_1fd683f32c1565ec4a97b827630f2395: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:33:34.256086,93f829f260fd0cc5b7c73059c8f118d4f0f35214,VirusShare_1fe0d2e3bc4ceb43327a8be14e7a1180,/home/user/virus_test_eset/flask_server/virus/VirusShare_1fe0d2e3bc4ceb43327a8be14e7a1180: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:34:01.894795,683cd95310d7521948b771f14b52f2b3266fb8ba,VirusShare_1ff34b9ff7553043d5cacdf7296adb4a,/home/user/virus_test_eset/flask_server/virus/VirusShare_1ff34b9ff7553043d5cacdf7296adb4a: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:34:29.769870,fed02f2d34512d65e861b91cab0b7a3ae5a3cc33,VirusShare_1fff6db4b64318fd2d32298c12252867,/home/user/virus_test_eset/flask_server/virus/VirusShare_1fff6db4b64318fd2d32298c12252867: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:35:01.705608,72adc75f53da17af6f70831265e25d48cece20aa,VirusShare_2049c7e1e521c61db441042967350289,/home/user/virus_test_eset/flask_server/virus/VirusShare_2049c7e1e521c61db441042967350289: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:35:40.564369,84c7d311f2c9b8f33a1befe11d22f6f829c442f2,VirusShare_20f7ed9c3e6dda2a68fead2700927d74,
2023-12-05 12:36:14.413138,0e106ed247753fdaf2d093a0aa77d41408a3f5d2,VirusShare_22660b01742a52200aa1c37d7ebe6c10,/home/user/virus_test_eset/flask_server/virus/VirusShare_22660b01742a52200aa1c37d7ebe6c10: 1: Syntax error: \"(\" unexpected
2023-12-05 12:36:55.576817,f873ea89167f334dde117f341d3c00e590e22ba9,VirusShare_231765e624d80726b861fa7e62dc52da,
2023-12-05 12:37:34.989459,bf9c86240f1eb3e570143559901bb1e72cd524b8,VirusShare_2385f1e8e3d0ae86e74dbe7a30b4c4ab,/home/user/virus_test_eset/flask_server/virus/VirusShare_2385f1e8e3d0ae86e74dbe7a30b4c4ab: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:38:11.226000,b539fcb6ba445b488a0930a7cce241194fe01484,VirusShare_23980c5ffa2e130424d958a80cca419b,/home/user/virus_test_eset/flask_server/virus/VirusShare_23980c5ffa2e130424d958a80cca419b: 14: Syntax error: EOF in backquote substitution
2023-12-05 12:38:43.990364,5621ecc7b6b028a38ca943a03e215d1125a204db,VirusShare_240da0f91948a7db95a5fe5b982f56b8,/home/user/virus_test_eset/flask_server/virus/VirusShare_240da0f91948a7db95a5fe5b982f56b8: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:39:13.995951,7eb13b428d43e26d8000ad3ceb105d86cf2996ee,VirusShare_24e7d8489086128b16fc8b804f3013bd,/home/user/virus_test_eset/flask_server/virus/VirusShare_24e7d8489086128b16fc8b804f3013bd: 1: Syntax error: \"(\" unexpected
2023-12-05 12:39:46.533188,8204cb3110fc72bd0e68da37021e9d6c44902273,VirusShare_27fddfa47e7e06845365f1d888604487,/home/user/virus_test_eset/flask_server/virus/VirusShare_27fddfa47e7e06845365f1d888604487: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:40:21.282979,b2d6c435439b3896cc14ba3def3f98badbbbfb3d,VirusShare_28b1a4884d76db9193501200f0da869e,
2023-12-05 12:40:54.452052,197c260e26c8bfbe1140c5bae0ba599da224d76c,VirusShare_28cb64899b7f0eed12c71e262ea5ea7e,/home/user/virus_test_eset/flask_server/virus/VirusShare_28cb64899b7f0eed12c71e262ea5ea7e: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:41:34.674313,6407ea85e3d4b2e7b0a6638e98a71f4ece9ae63c,VirusShare_29093d395de2058174a1d2ba50aaaaf3,
2023-12-05 12:42:07.281732,414f5da8551bcc06d9e36907a3ad80948247f75b,VirusShare_2988f7a6853a6f56e176606af38a721d,/home/user/virus_test_eset/flask_server/virus/VirusShare_2988f7a6853a6f56e176606af38a721d: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:42:41.915177,0c57f15710df8ccaa685ceca5cf4ad12bf47fb5a,VirusShare_2a27f6595bf2321a4f9444b10986a42b,/home/user/virus_test_eset/flask_server/virus/VirusShare_2a27f6595bf2321a4f9444b10986a42b: 1: Syntax error: word unexpected (expecting \")\")
2023-12-05 12:43:16.776504,24d1644159a176f290ce6667c17cda8539ce47cb,VirusShare_2bc24a957eb40ba7a9e7d2aa728f4498,/home/user/virus_test_eset/flask_server/virus/VirusShare_2bc24a957eb40ba7a9e7d2aa728f4498: 1: Syntax error: word unexpected (expecting \")\")
